board,description
4MB/OTA module with ESP32,GENERIC_OTA
Actinius Icarus with NRF9160,ACTINIUS_ICARUS
Adafruit Feather RP2040,ADAFRUIT_FEATHER_RP2040
Adafruit Feather STM32F405 with STM32F405RG,ADAFRUIT_F405_EXPRESS
Adafruit ItsyBitsy RP2040,ADAFRUIT_ITSYBITSY_RP2040
Adafruit Metro M7 with MIMXRT1011DAE5A,ADAFRUIT_METRO_M7
Adafruit QT Py RP2040,ADAFRUIT_QTPY_RP2040
Arduino GIGA R1 WiFi with STM32H747,ARDUINO_GIGA
Arduino Nano 33 BLE Sense with NRF52840,ARDUINO_NANO_33_BLE_SENSE
Arduino Nano ESP32 with ESP32S3,ARDUINO_NANO_ESP32
Arduino Nano RP2040 Connect,ARDUINO_NANO_RP2040_CONNECT
Arduino Nicla Vision with STM32H747,ARDUINO_NICLA_VISION
Arduino Portenta C33 with RA6M5,ARDUINO_PORTENTA_C33
Arduino Portenta H7 with STM32H747,ARDUINO_PORTENTA_H7
Arduino Primo with NRF52832,ARDUINO_PRIMO
B-L072Z-LRWAN1 with STM32L072CZ,B_L072Z_LRWAN1
B-L475E-IOT01A with STM32L475,B_L475E_IOT01A
Bluefruit nRF52 Feather with NRF52832,FEATHER52
BLUEIO-TAG-EVIM with NRF52832,BLUEIO_TAG_EVIM
Cerb40 with STM32F405RG,CERB40
CustomPCB with STM32F439,STM32F439
DVK-BL652 with NRF52832,DVK_BL652
EK-RA4M1 with RA4M1,EK_RA4M1
EK-RA4W1 with RA4W1,EK_RA4W1
EK-RA6M1 with RA6M1,EK_RA6M1
EK-RA6M2 with RA6M2,EK_RA6M2
ESP module (1M) with ESP8266,ESP8266_GENERIC
ESP module (512K) with ESP8266,ESP8266_GENERIC
ESP module with ESP8266,ESP8266_GENERIC
ESP32 module (spiram) with ESP32,GENERIC_SPIRAM
ESP32 module with ESP32,GENERIC
ESP32 Unicore module with ESP32-UNICORE,GENERIC_UNICORE
ESP32-D2WD,ESP32_GENERIC
ESP32-S2-WROVER with ESP32-S2,ESP32_S2_WROVER
ESP32-UNICORE,ESP32_GENERIC
ESP32C3 module with ESP32C3,ESP32_GENERIC_C3
ESP32S2 module with ESP32S2,GENERIC_S2
ESP32S3 module (spiram octal) with ESP32S3,GENERIC_S3_SPIRAM_OCT
ESP32S3 module (spiram) with ESP32S3,GENERIC_S3_SPIRAM
ESP32S3 module with ESP32S3,GENERIC_S3
Espruino Pico with STM32F401CD,ESPRUINO_PICO
EVK_NINA_B1 with NRF52832,EVK_NINA_B1
EVK_NINA_B3 with NRF52840,EVK_NINA_B3
F411DISC with STM32F411,STM32F411DISC
F429I-DISCO with STM32F429,STM32F429DISC
F4DISC with STM32F407,STM32F4DISC
F769DISC with STM32F769,STM32F769DISC
F7DISC with STM32F746,STM32F7DISC
Feather M0 Express with SAMD21G18A,ADAFRUIT_FEATHER_M0_EXPRESS
Feather M4 Express with SAMD51J19A,ADAFRUIT_FEATHER_M4_EXPRESS
FeatherS2 Neo with ESP32-S2FN4R2,UM_FEATHERS2NEO
FeatherS2 with ESP32-S2,UM_FEATHERS2
FeatherS3 with ESP32-S3,UM_FEATHERS3
GARATRONIC_PYBSTICK26_RP2040,GARATRONIC_PYBSTICK26_RP2040
Generic ESP32 module with ESP32,ESP32_GENERIC
Generic ESP32 module with OTA,ESP32_GENERIC
Generic ESP32 module with SPIRAM,ESP32_GENERIC
Generic ESP32-D2WD module with ESP32-D2WD,GENERIC_D2WD
Generic ESP32S2 module with ESP32S2,ESP32_GENERIC_S2
Generic ESP32S3 module with ESP32S3,ESP32_GENERIC_S3
Generic ESP32S3 module with Octal-SPIRAM,ESP32_GENERIC_S3
GIGA with STM32H747,ARDUINO_GIGA
HydraBus1.0 with STM32F4,HYDRABUS
i.MX RT1010 EVK with MIMXRT1011DAE5A,MIMXRT1010_EVK
i.MX RT1015 EVK with MIMXRT1015DAF5A,MIMXRT1015_EVK
i.MX RT1020 EVK with MIMXRT1021DAG5A,MIMXRT1020_EVK
i.MX RT1050 EVK with MIMXRT1052DVL6B,MIMXRT1050_EVK
i.MX RT1050 EVKB with MIMXRT1052DVL6B,MIMXRT1050_EVKB
i.MX RT1050 EVKB-A1 with MIMXRT1052DVL6B,MIMXRT1050_EVK
i.MX RT1060 EVK with MIMXRT1062DVJ6A,MIMXRT1060_EVK
i.MX RT1064 EVK with MIMXRT1064DVL6A,MIMXRT1064_EVK
i.MX RT1170 EVK with MIMXRT1176DVMAA,MIMXRT1170_EVK
IBK-BLYST-NANO with NRF52832,IBK_BLYST_NANO
IDK-BLYST-NANO with NRF52832,IDK_BLYST_NANO
ItsyBitsy M0 Express with SAMD21G18A,ADAFRUIT_ITSYBITSY_M0_EXPRESS
ItsyBitsy M4 Express with SAMD51G19A,ADAFRUIT_ITSYBITSY_M4_EXPRESS
L476-DISCO with STM32L476,STM32L476DISC
L496G-DISCO with STM32L496,STM32L496GDISC
LaunchPad with CC3200,LAUNCHXL
LEGO Technic Hub No.6 with STM32F413,LEGO_HUB_NO6
LEGO Technic Hub No.7 with STM32F413,LEGO_HUB_NO7
LILYGO TTGO LoRa32 with ESP32,LILYGO_TTGO_LORA32
LIMIFROG with STM32L476,LIMIFROG
LOLIN_C3_MINI with ESP32-C3FH4,LOLIN_C3_MINI
LOLIN_S2_MINI with ESP32-S2FN4R2,LOLIN_S2_MINI
LOLIN_S2_PICO with ESP32-S2FN4R2,LOLIN_S2_PICO
M5Stack ATOM with ESP32-PICO-D4,M5STACK_ATOM
MDK-USB-DONGLE with NRF52840,NRF52840_MDK_USB_DONGLE
Metro M4 Express Airlift with SAMD51J19A,ADAFRUIT_METRO_M4_EXPRESS
micro:bit with NRF51822,MICROBIT
MikroE Quail with STM32F427VI,MIKROE_QUAIL
MIKROE_CLICKER2_STM32 with STM32F407,MIKROE_CLICKER2_STM32
Mini SAM M4 with SAMD51G19A,MINISAM_M4
NADHAT_PYBF405 with STM32F405RG,GARATRONIC_NADHAT_F405
NanoS3 with ESP32-S3-FN8,UM_NANOS3
NetduinoPlus2 with STM32F405RG,NETDUINO_PLUS_2
NICLAVISION with STM32H747,ARDUINO_NICLA_VISION
NUCLEO-F091RC with STM32F091RCT6,NUCLEO_F091RC
NUCLEO-F401RE with STM32F401xE,NUCLEO_F401RE
NUCLEO-F411RE with STM32F411xE,NUCLEO_F411RE
NUCLEO-F412ZG with STM32F412Zx,NUCLEO_F412ZG
NUCLEO-F413ZH with STM32F413,NUCLEO_F413ZH
NUCLEO-F429ZI with STM32F429,NUCLEO_F429ZI
NUCLEO-F439ZI with STM32F439ZIT6,NUCLEO_F439ZI
NUCLEO-F446RE with STM32F446xx,NUCLEO_F446RE
NUCLEO-F722ZE with STM32F722,NUCLEO_F722ZE
NUCLEO-F746ZG with STM32F746,NUCLEO_F746ZG
NUCLEO-F756ZG with STM32F756,NUCLEO_F756ZG
NUCLEO-F767ZI with STM32F767,NUCLEO_F767ZI
NUCLEO-G0B1RE with STM32G0B1xE,NUCLEO_G0B1RE
NUCLEO-L073RZ with STM32L073RZT6,NUCLEO_L073RZ
NUCLEO-L152RE with STM32L152xE,NUCLEO_L152RE
NUCLEO-L432KC with STM32L432KC,NUCLEO_L432KC
NUCLEO-L452RE with STM32L452RE,NUCLEO_L452RE
NUCLEO-L476RG with STM32L476RG,NUCLEO_L476RG
NUCLEO-L4A6ZG with STM32L4A6ZG,NUCLEO_L4A6ZG
NUCLEO-WB55 with STM32WB55RGV6,NUCLEO_WB55
NUCLEO-WL55 with STM32WL55JCI7,NUCLEO_WL55
NUCLEO_G474RE with STM32G474,NUCLEO_G474RE
NUCLEO_H563ZI with STM32H563ZI,NUCLEO_H563ZI
NUCLEO_H723ZG with STM32H723ZGT6,NUCLEO_H723ZG
NUCLEO_H743ZI with STM32H743,NUCLEO_H743ZI
NUCLEO_H743ZI2,NUCLEO_H743ZI2
nullbits Bit-C PRO,NULLBITS_BIT_C_PRO
Olimex ESP32 ETH with ESP32,OLIMEX_ESP32_POE
OLIMEX STM32-E407 with STM32F407,OLIMEX_E407
OLIMEX STM32-H407 with STM32F407,OLIMEX_H407
PCA10000 with NRF51822,PCA10000
PCA10001 with NRF51822,PCA10001
PCA10028 with NRF51822,PCA10028
PCA10031 with NRF51822,PCA10031
PCA10040 with NRF52832,PCA10040
PCA10056 with NRF52840,PCA10056
PCA10059 with NRF52840,PCA10059
PCA10090 with NRF9160,PCA10090
Pimoroni Pico LiPo 16MB,PIMORONI_PICOLIPO_16MB
Pimoroni Pico LiPo 4MB,PIMORONI_PICOLIPO_4MB
Pimoroni Tiny 2040,PIMORONI_TINY2040
Pololu 3pi+ 2040 Robot,POLOLU_3PI_2040_ROBOT
Pololu Zumo 2040 Robot,POLOLU_ZUMO_2040_ROBOT
PORTENTA C33 with RA6M5,ARDUINO_PORTENTA_C33
PORTENTA with STM32H747,ARDUINO_PORTENTA_H7
ProS3 with ESP32-S3,UM_PROS3
PYBD-SF2W with STM32F722IEK,PYBD_SF2
PYBD-SF3W with STM32F733IEK,PYBD_SF3
PYBD-SF6W with STM32F767IIK,PYBD_SF6
PYBLITEv1.0 with STM32F411RE,PYBLITEV10
PYBSTICK26_STD with STM32F411RE,GARATRONIC_PYBSTICK26_F411
PYBv1.0 with STM32F405RG,PYBV10
PYBv1.1 with STM32F405RG,PYBV11
PYBv3 with STM32F405RG,PYBV3
PYBv4 with STM32F405RG,PYBV4
RA4M1 CLICKER with RA4M1,RA4M1_CLICKER
RA4M1_CLICKER with RA4M1,RA4M1_CLICKER
RA4M1_EK with RA4M1,RA4M1_EK
RA4W1_EK with RA4W1,RA4W1_EK
RA6M1_EK with RA6M1,RA6M1_EK
RA6M2_EK with RA6M2,RA6M2_EK
Raspberry Pi Pico,RPI_PICO
Raspberry Pi Pico W,RPI_PICO_W
RT1010-Py-DevKIT with MIMXRT1011DAE5A,OLIMEX_RT1010
SAMD21-XPLAINED-PRO with SAMD21J18A,SAMD21_XPLAINED_PRO
Seeed ARCH MIX with MIMXRT1052DVL5B,SEEED_ARCH_MIX
Seeed Xiao with SAMD21G18A,SEEED_XIAO_SAMD21
Silicognition RP2040-Shim,SIL_RP2040_SHIM
Silicognition wESP32 with ESP32,SIL_WESP32
SparkFun Pro Micro RP2040,SPARKFUN_PROMICRO
Sparkfun SAMD51 Thing Plus with SAMD51J20A,SPARKFUN_SAMD51_THING_PLUS
SparkFun STM32 MicroMod Processor with STM32F405RG,SPARKFUN_MICROMOD_STM32
SparkFun Thing Plus RP2040,SPARKFUN_THINGPLUS
STM32H573I-DK with STM32H573IIK3Q,STM32H573I_DK
STM32H7B3I-DK with STM32H7B3LIH6Q,STM32H7B3I_DK
Teensy 4.0 with MIMXRT1062DVJ6A,TEENSY40
Teensy 4.1 with MIMXRT1062DVJ6A,TEENSY41
TinyPICO with ESP32-PICO-D4,UM_TINYPICO
TinyS2 with ESP32-S2FN4R2,UM_TINYS2
TinyS3 with ESP32-S3-FN8,UM_TINYS3
TinyWATCH S3 with ESP32-S3-PICO-1-N8R2,UM_TINYWATCHS3
Trinket M0 with SAMD21E18A,ADAFRUIT_TRINKET_M0
USBDongle-WB55 with STM32WB55CGU6,USBDONGLE_WB55
VCC-GND STM32F407VE with STM32F407VE,VCC_GND_F407VE
VCC-GND STM32F407ZG with STM32F407ZG,VCC_GND_F407ZG
VCC-GND STM32H743VI with STM32H743VI,VCC_GND_H743VI
VK-RA6M5 with RA6M5,VK_RA6M5
W5100S-EVB-Pico,W5100S_EVB_PICO
W5500-EVB-Pico,W5500_EVB_PICO
WeAct Studio RP2040,WEACTSTUDIO
Wio Terminal D51R with SAMD51P19A,SEEED_WIO_TERMINAL
WiPy with CC3200,WIPY
WT51822-S4AT with NRF51822,WT51822_S4AT
XENON with NRF52840,PARTICLE_XENON
XIAO nRF52840 Sense with NRF52840,SEEED_XIAO_NRF52
